CodProfesionUOficio,Descripción,"Estado (1-Inactivo, 2- Activo)"
721,Profesor de academia comercial / inglés (con título universitario),2
722,Profesor  de academia comercial / francés (con título universitario),2
723,Profesor de academia comercial / alemán (con título universitario),2
724,Profesor de  academia comercial / portugués (con título universitario),2
725,Profesor   de academia comercial / mandarín(con título universitario),2
726,Profesor  de instituto / comercial/ francés (con título universitario),2
727,Profesor de instituto / comercial / alemán (con título universitario),2
728,Profesor de instituto / comercial / portugués (con título universitario),2
729,Profesor  de instituto / comercial / mandarín (con título universitario),2
730,Profesor  de instituto / comercial / inglés (con título universitario),2
731,Profesor de idiomas en academia (con título universitario),2
732,Profesor de idiomas en instituto (con título universitario),2
733,Profesor de música en academia (con título universitario),2
734,Profesor de canto (con título universitario),2
735,Profesor de piano (con título universitario),2
736,Profesor de guitarra (con título universitario),2
737,Profesor de flauta (con título universitario),2
738,Profesor de percusión (con título universitario),2
739,Profesor de danza en academia comercial (con título universitario),2
740,Profesor de arte en academia comercial (con título universitario),2
741,Profesor de artes en instituto comercial (con título universitario),2
742,Profesor de danza (con título universitario),2
743,Profesor de computación en academia  comercial (con título universitario),2
744,Profesor de informática en instituto comercial (con título universitario),2
745,Profesor de computación en instituto (con título universitario),2
746,Orientador de centro de educación,2
747,Orientador de centros de enseñanza,2
748,Analista contable / presupuestario,2
749,Analista de costos,2
750,Auditor,2
751,Auditor  fiscal,2
752,Auditor investigador,2
753,Auditor  supervisor,2
754,Contador de auditoría / empresas,2
755,Contador  público,2
756,Inspector de auditoría,2
757,Interventor de cuentas,2
758,Contador público autorizado,2
759,CPA,2
760,Auditor de contabilidad,2
761,Asesor  financiero,2
762,Asesor  de inversiones,2
763,Planificador  financiero,2
764,Analista de  planificación  financiera,2
765,Analista de crédito,2
766,Analista financiero,2
767,Consultor en mercado de  seguros,2
768,Analista de seguros,2
769,Administrador de negocios,2
770,Analista  administrativo,2
771,Analista de presupuesto,2
772,Encargado de presupuesto,2
773,Profesional de  administración aduanera,2
774,Administrador de empresas,2
775,Consultor de negocios,2
776,Analista de organización ,2
777,Administrador  público,2
778,Analista de políticas públicas,2
779,Analista de políticas ,2
780,Analista de políticas administrativas,2
781,Administrador de recursos humanos,2
782,Administrador de trabajo,2
783,Analista  de ocupaciones,2
784,Analista   de profesiones,2
785,Analista  de puestos de trabajo,2
786,Analista   de recursos humanos,2
787,Especialista  en certificación ocupacional,2
788,Especialista  en recursos humanos,2
789,Profesional  en administración de personal,2
790,Profesional   en  inspección laboral,2
791,Consejero   de formación profesional,2
792,Especialista  en cuestiones de personal,2
793,Especialista   de relaciones profesionales,2
794,Especialista  en formación del personal,2
795,Motivador de personal,2
796,Analista  de mercados,2
797,Publicista,2
798,Publicista  responsable de campaña publicitaria,2
799,Especialista  en mercadeo,2
800,Mercadólogo,2
801,Especialista en marketing,2
802,Especialista  en publicidad,2
803,Profesional en mercadeo,2
804,Especialista de relaciones públicas,2
805,Relacionista  público,2
806,Encargado de relaciones públicas,2
807,Encargado de prensa,2
808,Representante de  ventas / productos industriales,2
809,Representante   de  ventas / productos médicos ,2
810,Representante  de ventas  técnicas / productos especializados ,2
811,Representante    de ventas / productos  farmacéuticos,2
812,Representante    de ventas técnicas,2
813,Representante   de ventas maquinaria,2
